embedding,n_neighbors,min_cluster_size,min_samples,topics_num,not_found,support,c_v,u_mass,c_uci,c_npmi,c_su,c_cu
sbert-lexrank-weighted,5,100,1,361,124682,75107,0.41130757899453285,-1.0180121898894094,-2.8162042135166807,-0.015108335170624506,0.4895880938661156,0.5037415481100728
sbert-lexrank-weighted,5,100,10,271,132201,69974,0.41247892587089036,-1.0046431675772112,-2.6904110033776347,-0.00682931830565398,0.5061920532943621,0.5285357600030418
sbert-lexrank-weighted,5,100,50,201,123010,65702,0.42174482951639597,-0.90572150397369,-2.5405538701910455,0.001197751916296439,0.504470731274855,0.511998703516711
sbert-lexrank-weighted,5,100,100,169,129006,63643,0.3847238613648849,-0.8587498035832152,-2.9083211757211993,-0.01596255957530652,0.5017109195651233,0.525623973727422
sbert-lexrank-weighted,5,200,1,178,113436,62094,0.3955963903752221,-0.8184033363037453,-3.0534945743669386,-0.02242401265192664,0.5032655756953108,0.4992055939778076
sbert-lexrank-weighted,5,200,20,141,121848,60775,0.3801106922038314,-0.7857489914973722,-2.9823531173662956,-0.01724114569639261,0.5120778543706193,0.5176032750279121
sbert-lexrank-weighted,5,200,100,112,112807,60062,0.39672453601040175,-0.6935293661486424,-3.0103466656149234,-0.020549579540276083,0.5138634246040095,0.5066610630771051
sbert-lexrank-weighted,5,200,200,98,116922,59633,0.4149448272105561,-0.6675285510067426,-2.781743079189774,-0.0065274211085943005,0.5050777265183697,0.5084552674740848
sbert-lexrank-weighted,10,10,10,1293,170935,None,None,None,None,None,0.5031283985141872,0.6139720393028522
sbert-lexrank-weighted,10,20,10,729,162427,86575,0.46796706107775693,-1.3442623308368196,-2.06475547642103,0.016080205030251975,0.5130136048494505,0.5984879190689287
sbert-lexrank-weighted,10,20,20,574,161807,80516,0.4733476035750034,-1.251634748008522,-2.0248248012582306,0.021830044564672354,0.49778938418559454,0.5898308848018354
sbert-lexrank-weighted,10,50,10,365,155211,76004,0.42879852179550515,-1.1375098496263196,-2.452085520033308,0.004614264434612113,0.5123207308471692,0.5810183570200315
sbert-lexrank-weighted,10,50,25,312,151126,72325,0.42501457969945755,-1.0832781595431211,-2.488988000035768,0.0031057413231830454,0.5017271247834532,0.5684836633260002
sbert-lexrank-weighted,10,50,50,247,144339,68486,0.41886539286111374,-1.0044363845159425,-2.5966294145141067,-0.00033910381469312643,0.5190378641430317,0.566413811777353
sbert-lexrank-weighted,10,100,1,274,130600,70121,0.420443884123452,-1.0056450097433678,-2.6441517999906097,-0.005733193252860233,0.5047292284866469,0.5234008539997055
sbert-lexrank-weighted,10,100,10,201,135032,65939,0.4121375013016115,-0.9623607018189992,-2.770096468856875,-0.008729229165755407,0.5260565206118745,0.5486950055466836
sbert-lexrank-weighted,10,100,50,163,136181,63610,0.39596156868033494,-0.9035841485253775,-2.8543761195636055,-0.010309952787966653,0.5288271785205441,0.5574129545527748
sbert-lexrank-weighted,10,100,100,126,110932,61885,0.3939889679201556,-0.7497449686233509,-2.822597861456898,-0.008676169932250836,0.5173232083531086,0.5101320738073662
sbert-lexrank-weighted,10,200,1,152,120145,61342,0.3920074071896863,-0.8325331677764184,-3.04878941375117,-0.02258939379287327,0.5236690932301303,0.5226171775407314
sbert-lexrank-weighted,10,200,20,122,127484,60383,0.3784929475449445,-0.7713859804919557,-3.193236014297928,-0.026320136277234785,0.5283702843207527,0.5393251632669516
sbert-lexrank-weighted,10,200,100,94,109221,59583,0.3804292769494197,-0.6540366178340403,-3.1293790404357713,-0.023002732513969032,0.5209872883449439,0.5118236697123086
sbert-lexrank-weighted,10,200,200,87,127445,59413,0.3750004207467763,-0.6478258020081751,-3.2938804583345607,-0.03125852862548719,0.5404908759707264,0.552302700813699
