embedding,n_neighbors,min_cluster_size,min_samples,topics_num,not_found,support,c_v,u_mass,c_su,c_cu
sbert-lexrank-top5,20,100,1,265,144576,68293,0.39553905809511253,-0.9910116786677303,0.42982575397095146,0.5132728103527059
sbert-lexrank-top5,20,100,10,204,144744,64942,0.4126526398242447,-0.9766326360043156,0.4455413276141214,0.5226247562618731
sbert-lexrank-top5,20,100,50,166,122429,63346,0.3997433299428327,-0.8437900139179133,0.45533045223285284,0.48209963632451935
sbert-lexrank-top5,20,100,100,146,116951,62447,0.39543840716081774,-0.8407016270547146,0.41358140847720753,0.4442875671061056
sbert-lexrank-weighted,5,10,10,2215,155735,None,None,None,0.4958449598219051,0.5694488560564122
sbert-lexrank-weighted,5,20,10,1169,145094,None,None,None,0.48518595572307954,0.5409709803643832
sbert-lexrank-weighted,5,20,20,881,145665,93100,0.4583847460544644,-1.36707805017108,0.4951165501165501,0.5507016357044977
sbert-lexrank-weighted,5,50,10,512,134962,84702,0.43103509340679586,-1.186536371666404,0.4973283462463265,0.5266948969450805
sbert-lexrank-weighted,5,50,25,396,134052,77868,0.43091948556841175,-1.1212081257702091,0.5092726349900442,0.5356189667974965
sbert-lexrank-weighted,5,50,50,320,137559,73008,0.43413306707474786,-1.0779079093106634,0.502727646012162,0.5402638372292489
sbert-lexrank-weighted,5,100,1,361,124682,75107,0.41130757899453285,-1.0180121898894094,0.4895880938661156,0.5037415481100728
sbert-lexrank-weighted,5,100,10,271,132201,69974,0.41247892587089036,-1.0046431675772112,0.5061920532943621,0.5285357600030418
sbert-lexrank-weighted,5,100,50,201,123010,65702,0.42174482951639597,-0.90572150397369,0.504470731274855,0.511998703516711
sbert-lexrank-weighted,5,100,100,169,129006,63643,0.3847238613648849,-0.8587498035832152,0.5017109195651233,0.525623973727422
sbert-lexrank-weighted,10,10,10,1293,170935,None,None,None,0.5031283985141872,0.6139720393028522
sbert-lexrank-weighted,10,20,10,729,162427,86575,0.46796706107775693,-1.3442623308368196,0.5130136048494505,0.5984879190689287
sbert-lexrank-weighted,10,20,20,574,161807,80516,0.4733476035750034,-1.251634748008522,0.49778938418559454,0.5898308848018354
sbert-lexrank-weighted,10,50,10,365,155211,76004,0.42879852179550515,-1.1375098496263196,0.5123207308471692,0.5810183570200315
sbert-lexrank-weighted,10,50,25,312,151126,72325,0.42501457969945755,-1.0832781595431211,0.5017271247834532,0.5684836633260002
sbert-lexrank-weighted,10,50,50,247,144339,68486,0.41886539286111374,-1.0044363845159425,0.5190378641430317,0.566413811777353
sbert-lexrank-weighted,10,100,1,274,130600,70121,0.420443884123452,-1.0056450097433678,0.5047292284866469,0.5234008539997055
sbert-lexrank-weighted,10,100,10,201,135032,65939,0.4121375013016115,-0.9623607018189992,0.5260565206118745,0.5486950055466836
sbert-lexrank-weighted,10,100,50,163,136181,63610,0.39596156868033494,-0.9035841485253775,0.5288271785205441,0.5574129545527748
sbert-lexrank-weighted,10,100,100,126,110932,61885,0.3939889679201556,-0.7497449686233509,0.5173232083531086,0.5101320738073662
sbert-lexrank-weighted,15,10,10,1048,176046,None,None,None,0.49812884447184663,0.6278337377153641
sbert-lexrank-weighted,15,20,10,658,177833,83809,0.46300323641350694,-1.3086428472223555,0.5020020379167325,0.6343584813043355
